Station,Time,Date,Rainfall (mm) (24 hours),Temp (? C),Rel Humidity (%),Wind Speed (m/s) 
George WO/WK,1400,19450509,0,32.2,17,0
George WO/WK,1400,19450510,0.3,29.4,13,0
George WO/WK,1400,19450511,8.1,15.7,72,0
George WO/WK,1400,19450512,1.3,14.4,82,0
George WO/WK,1400,19450513,0.8,18.9,65,1.5
George WO/WK,1400,19450514,0,19.5,64,1.5
George WO/WK,1400,19450515,0,27.7,22,2.1
George WO/WK,1400,19450516,0.8,21.7,57,0
George WO/WK,1400,19450517,0,15.9,62,0
George WO/WK,1400,19450518,0,25.7,25,0
George WO/WK,1400,19450519,0,29.4,12,2.1
George WO/WK,1400,19450520,6.1,10.8,86,0
George WO/WK,1400,19450521,50.8,13.2,54,1.5
George WO/WK,1400,19450522,43.2,10.4,98,2.1
George WO/WK,1400,19450523,7.9,13.1,58,3.1
George WO/WK,1400,19450524,0,17.8,66,3.1
George WO/WK,1400,19450525,0,16.8,64,0
George WO/WK,1400,19450526,0,22.8,44,0
George WO/WK,1400,19450527,0,13.1,88,0
George WO/WK,1400,19450528,2.3,15.4,79,1.5
George WO/WK,1400,19450529,3,12.8,38,2.1
George WO/WK,1400,19450530,0,14.9,63,0
George WO/WK,1400,19450531,0,17.8,42,0
George WO/WK,1400,19450601,0,16.1,62,0
George WO/WK,1400,19450602,0,16.6,69,0
George WO/WK,1400,19450603,0,16.4,58,0
George WO/WK,1400,19450604,0,20.4,47,0
George WO/WK,1400,19450605,2.5,13.9,81,1.5
George WO/WK,1400,19450606,0.3,15.3,50,0
George WO/WK,1400,19450607,0,17.3,62,0
George WO/WK,1400,19450608,0,16,60,1.5
George WO/WK,1400,19450609,0,15.6,58,2.6
George WO/WK,1400,19450610,0,18.1,54,2.1
George WO/WK,1400,19450611,7.1,13.6,99,0
